,docid,model,nonfactual_spans,evidence,summary,factual_error,error_type,dialogue,origin,linguistic_categories
557,test_318,Alpaca-13B,[],[],"#Person1# and #Person2# are discussing where to have lunch. #Person1# suggests Burger Queen, and #Person2# agrees as they have good cheese burgers, milkshakes, and French fries. #Person2# is concerned about eating too much fried food, but #Person1# assures them it is okay to have it occasionally.",0,[],"#Person1#: Let''s go to Burger Queen for lunch. They have good cheese burgers.
#Person2#: OK. I am hungry, too. I like their milkshake. They''re very creamy and tasty.
#Person1#: Look at the long line, there are always a lot of people waiting in lines just for the cheese burger. It must be very delicious.
#Person2#: Yup. But, this also means we have to wait to order our food.
#Person1#: Come on. It is worth waiting. Their cheese burgers are really popular. Once you have it, you will love it.
#Person2#: Well, sounds very attractive. I just tried their vanilla milkshake last time, and it was really delicious.
#Person1#: Yup, they have good French fries as well. Not very thick, but crispy enough. You should try them with some mayonnaise sauce. That is the Belgium style. You will love it.
#Person2#: OK, I think I know what to order for my lunch now. But, eating too much fried food really makes me fat.
#Person1#: Come on. You just have it once in a while, not every day. It will not harm you.
#Person2#: That''s true. You can hear my tummy grumbling. I am really hungry!
#Person1#: Be patient. Good food never comes fast.
#Person2#: Ok!",DialogSum,[]
560,13731477,BART,[],[],Gene sent a package to Jack on Friday. Jack hasn't received it yet. Gene sends him the tracking.,0,[],"Gene: Did you get the package I sent you
Jack: No, when did you send it?
Gene: on Friday
Jack: shit I should have gotten it by now
Jack: send me the tracking umber I;ll check whats up
Gene: 12345678900",FacEval,[]
562,13731477,GPT-4,[],[],Gene sent a package to Jack on Friday and Jack has not received it yet. Jack is asking Gene for the tracking number to find out the status of the package. Gene provides the tracking number for the package.,0,[],"Gene: Did you get the package I sent you
Jack: No, when did you send it?
Gene: on Friday
Jack: shit I should have gotten it by now
Jack: send me the tracking umber I;ll check whats up
Gene: 12345678900",FacEval,[]
563,13731477,Alpaca-13B,[],[],Jack and Gene are discussing a package that Gene sent to Jack on Friday. Jack realizes he hasn't received it yet and asks Gene for the tracking number so he can check what happened to the package.,0,[],"Gene: Did you get the package I sent you
Jack: No, when did you send it?
Gene: on Friday
Jack: shit I should have gotten it by now
Jack: send me the tracking umber I;ll check whats up
Gene: 12345678900",FacEval,[]
566,13681886,BART,[],[],"Sandra has been sick, but she's getting better now. Stella will take her to the cinema.",0,[],"Stella: Hi Sandra
Stella: Did you recover finally?
Stella: I wanted to come and visit you but I didn't want to get infected by the disease that you've been carrying
Stella: You know... I'm a teacher, I could spread the disease
Sandra: Hello my dear
Sandra: I'm getting better every day but there's still something left
Sandra: I have some effective medicines now
Sandra: All the drugs that doctors have been prescribing to me so far were useless
Sandra: Now the difference in my well-being is surprisingly considerable
Stella: It's very nice to here that, I'm so happy for you!
Stella: Hope you'll be in a perfect health soon
Stella: I want to take you to the cinema
Stella: They have a brilliant repertoire now
Sandra: Oh, I dream of getting out of the house!
Sandra: I used to love laying in the bed for hours, but now I hate it
Stella: I understand
Stella: Just tell me, what kind of movie would you like to watch?
Stella: A romantic comedy, horror, fantasy or something else?
Stella: I'll do some research in my friends' midst and try to choose the best option :)
Sandra: I'm dreaming of watching some action movie
Sandra: With all the special effects and dynamic action
Sandra: Something that would be the opposite of my current situation :)
Stella: You got it! :)
Stella: I'll find something special for you
Stella: So I'm keeping my fingers crossed for your quick recovery
Stella: Talk to you soon! :)
Sandra: Thanks, Stella, my darling. You made my day :)
Sandra: Bye bye",FacEval,[]
568,13681886,GPT-4,"[""once she's well""]",['Not found'],"Stella and Sandra had a conversation where Stella checked in on Sandra, who has been suffering from a disease. Sandra shared her improvement with new effective medicines, despite the previously prescribed ones being ineffective. Stella expressed her relief and hoped for Sandra's quick recovery. Stella offered to take Sandra to the cinema once she's well, desiring to choose a movie based on Sandra's preference. Sandra expressed her preference for an action movie to escape her current situation. Stella agreed to find a suitable movie and wished Sandra a speedy recovery.",1,['Extrinsic_Error'],"Stella: Hi Sandra
Stella: Did you recover finally?
Stella: I wanted to come and visit you but I didn''t want to get infected by the disease that you''ve been carrying
Stella: You know... I''m a teacher, I could spread the disease
Sandra: Hello my dear
Sandra: I''m getting better every day but there''s still something left
Sandra: I have some effective medicines now
Sandra: All the drugs that doctors have been prescribing to me so far were useless
Sandra: Now the difference in my well-being is surprisingly considerable
Stella: It''s very nice to here that, I''m so happy for you!
Stella: Hope you''ll be in a perfect health soon
Stella: I want to take you to the cinema
Stella: They have a brilliant repertoire now
Sandra: Oh, I dream of getting out of the house!
Sandra: I used to love laying in the bed for hours, but now I hate it
Stella: I understand
Stella: Just tell me, what kind of movie would you like to watch?
Stella: A romantic comedy, horror, fantasy or something else?
Stella: I''ll do some research in my friends'' midst and try to choose the best option :)
Sandra: I''m dreaming of watching some action movie
Sandra: With all the special effects and dynamic action
Sandra: Something that would be the opposite of my current situation :)
Stella: You got it! :)
Stella: I''ll find something special for you
Stella: So I''m keeping my fingers crossed for your quick recovery
Stella: Talk to you soon! :)
Sandra: Thanks, Stella, my darling. You made my day :)
Sandra: Bye bye",FacEval,['Circumstantial Inference']
569,13681886,Alpaca-13B,[],[],Sandra and Stella are having a conversation about Sandra's health. Sandra is feeling better but still has some symptoms of the disease. Stella offers to come and visit her but is afraid of getting infected. Sandra tells her that she is getting better and has effective medicines now. Stella is happy for her and offers to take her to the cinema. Sandra dreams of getting out of the house and doing something fun. She wants to watch an action movie with special effects and dynamic action. Stella promises to find something special for her and they say goodbye.,0,[],"Stella: Hi Sandra
Stella: Did you recover finally?
Stella: I wanted to come and visit you but I didn''t want to get infected by the disease that you''ve been carrying
Stella: You know... I''m a teacher, I could spread the disease
Sandra: Hello my dear
Sandra: I''m getting better every day but there''s still something left
Sandra: I have some effective medicines now
Sandra: All the drugs that doctors have been prescribing to me so far were useless
Sandra: Now the difference in my well-being is surprisingly considerable
Stella: It''s very nice to here that, I''m so happy for you!
Stella: Hope you''ll be in a perfect health soon
Stella: I want to take you to the cinema
Stella: They have a brilliant repertoire now
Sandra: Oh, I dream of getting out of the house!
Sandra: I used to love laying in the bed for hours, but now I hate it
Stella: I understand
Stella: Just tell me, what kind of movie would you like to watch?
Stella: A romantic comedy, horror, fantasy or something else?
Stella: I''ll do some research in my friends'' midst and try to choose the best option :)
Sandra: I''m dreaming of watching some action movie
Sandra: With all the special effects and dynamic action
Sandra: Something that would be the opposite of my current situation :)
Stella: You got it! :)
Stella: I''ll find something special for you
Stella: So I''m keeping my fingers crossed for your quick recovery
Stella: Talk to you soon! :)
Sandra: Thanks, Stella, my darling. You made my day :)
Sandra: Bye bye",FacEval,[]
571,13681886,BART,[],[],Sandra has a disease. She's getting better every day. Stella wanted to visit her but she didn't want to get infected by the disease that she's been carrying. She wants to take her to the cinema. Sandra prefers action movies.,0,[],"Stella: Hi Sandra
Stella: Did you recover finally?
Stella: I wanted to come and visit you but I didn't want to get infected by the disease that you've been carrying
Stella: You know... I'm a teacher, I could spread the disease
Sandra: Hello my dear
Sandra: I'm getting better every day but there's still something left
Sandra: I have some effective medicines now
Sandra: All the drugs that doctors have been prescribing to me so far were useless
Sandra: Now the difference in my well-being is surprisingly considerable
Stella: It's very nice to here that, I'm so happy for you!
Stella: Hope you'll be in a perfect health soon
Stella: I want to take you to the cinema
Stella: They have a brilliant repertoire now
Sandra: Oh, I dream of getting out of the house!
Sandra: I used to love laying in the bed for hours, but now I hate it
Stella: I understand
Stella: Just tell me, what kind of movie would you like to watch?
Stella: A romantic comedy, horror, fantasy or something else?
Stella: I'll do some research in my friends' midst and try to choose the best option :)
Sandra: I'm dreaming of watching some action movie
Sandra: With all the special effects and dynamic action
Sandra: Something that would be the opposite of my current situation :)
Stella: You got it! :)
Stella: I'll find something special for you
Stella: So I'm keeping my fingers crossed for your quick recovery
Stella: Talk to you soon! :)
Sandra: Thanks, Stella, my darling. You made my day :)
Sandra: Bye bye",SAMSum,[]
574,13681886,GPT-4,"[""once she's well""]",['Not found'],"Stella and Sandra had a conversation where Stella checked in on Sandra, who has been suffering from a disease. Sandra shared her improvement with new effective medicines, despite the previously prescribed ones being ineffective. Stella expressed her relief and hoped for Sandra's quick recovery. Stella offered to take Sandra to the cinema once she's well, desiring to choose a movie based on Sandra's preference. Sandra expressed her preference for an action movie to escape her current situation. Stella agreed to find a suitable movie and wished Sandra a speedy recovery.",1,['Extrinsic_Error'],"Stella: Hi Sandra
Stella: Did you recover finally?
Stella: I wanted to come and visit you but I didn''t want to get infected by the disease that you''ve been carrying
Stella: You know... I''m a teacher, I could spread the disease
Sandra: Hello my dear
Sandra: I''m getting better every day but there''s still something left
Sandra: I have some effective medicines now
Sandra: All the drugs that doctors have been prescribing to me so far were useless
Sandra: Now the difference in my well-being is surprisingly considerable
Stella: It''s very nice to here that, I''m so happy for you!
Stella: Hope you''ll be in a perfect health soon
Stella: I want to take you to the cinema
Stella: They have a brilliant repertoire now
Sandra: Oh, I dream of getting out of the house!
Sandra: I used to love laying in the bed for hours, but now I hate it
Stella: I understand
Stella: Just tell me, what kind of movie would you like to watch?
Stella: A romantic comedy, horror, fantasy or something else?
Stella: I''ll do some research in my friends'' midst and try to choose the best option :)
Sandra: I''m dreaming of watching some action movie
Sandra: With all the special effects and dynamic action
Sandra: Something that would be the opposite of my current situation :)
Stella: You got it! :)
Stella: I''ll find something special for you
Stella: So I''m keeping my fingers crossed for your quick recovery
Stella: Talk to you soon! :)
Sandra: Thanks, Stella, my darling. You made my day :)
Sandra: Bye bye",SAMSum,['Circumstantial Inference']
575,13681886,Alpaca-13B,[],[],Sandra and Stella are having a conversation about Sandra's health. Sandra is feeling better but still has some symptoms of the disease. Stella offers to come and visit her but is afraid of getting infected. Sandra tells her that she is getting better and has effective medicines now. Stella is happy for her and offers to take her to the cinema. Sandra dreams of getting out of the house and doing something fun. She wants to watch an action movie with special effects and dynamic action. Stella promises to find something special for her and they say goodbye.,0,[],"Stella: Hi Sandra
Stella: Did you recover finally?
Stella: I wanted to come and visit you but I didn''t want to get infected by the disease that you''ve been carrying
Stella: You know... I''m a teacher, I could spread the disease
Sandra: Hello my dear
Sandra: I''m getting better every day but there''s still something left
Sandra: I have some effective medicines now
Sandra: All the drugs that doctors have been prescribing to me so far were useless
Sandra: Now the difference in my well-being is surprisingly considerable
Stella: It''s very nice to here that, I''m so happy for you!
Stella: Hope you''ll be in a perfect health soon
Stella: I want to take you to the cinema
Stella: They have a brilliant repertoire now
Sandra: Oh, I dream of getting out of the house!
Sandra: I used to love laying in the bed for hours, but now I hate it
Stella: I understand
Stella: Just tell me, what kind of movie would you like to watch?
Stella: A romantic comedy, horror, fantasy or something else?
Stella: I''ll do some research in my friends'' midst and try to choose the best option :)
Sandra: I''m dreaming of watching some action movie
Sandra: With all the special effects and dynamic action
Sandra: Something that would be the opposite of my current situation :)
Stella: You got it! :)
Stella: I''ll find something special for you
Stella: So I''m keeping my fingers crossed for your quick recovery
Stella: Talk to you soon! :)
Sandra: Thanks, Stella, my darling. You made my day :)
Sandra: Bye bye",SAMSum,[]
578,13830106,BART,"[None, None, None]",[],It's Valentine's Day in Warsaw. There are vendors selling roses on the street and coffee shops decorated with heart-shaped balloons. Bella will order some pizza home. Aria will come to Warsaw as soon as she finishes work at 6.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Bella: It's valentine's day!
Aria: For somebody without bf today is kinda miserable day.....
Bella: There are a lot of vendors selling roses on the street here.
Bella: <file_photo>
Aria: <file_gif> 
Bella: hahahahahahaha!! That looks SO SAD! :'(:'(:'(
Aria: I feel like the weather is colder than it really is. How's the weather there?
Bella: Here? it's 3 degree today. Wow! Even coffee shops are all decorated with all the heart-shaped balloons.
Bella: <file_photo>
Aria: Here everywhere just chocolate. :/ :/Of course it isn't related to me at all. :/:/
Bella: Only shops seems to get money.
Aria: What's your plan?
Bella: Maybe I will order some pizza home. (Sounds not that fun. right?) When will you come to Warsaw?
Aria: As soon as I quit, I will fly to you. For now what I only hope is to leave work at 6. :|:|:|:|
Bella: This year I will probably go to Korea to get regular checkup. 
Aria: Good. Take care there.
Bella: Make bf asap and visit us together. You too!
Aria: I gotta go. Ttyl",FacEval,['Logical Error']
580,13830106,GPT-4,[],[],"On Valentine's Day, Bella and Aria compare their experiences. Bella shares pictures of rose vendors and heart balloons in Warsaw, while Aria feels miserable without a boyfriend and is surrounded by chocolate in her location. Aria wishes she could leave work at 6 and plans to visit Bella in Warsaw when she quits her job. Bella mentions she might celebrate the day by ordering pizza at home and also shares her plans of visiting Korea for a check-up. They both advise each other to take care before ending their conversation.",0,[],"Bella: It''s valentine''s day!
Aria: For somebody without bf today is kinda miserable day.....
Bella: There are a lot of vendors selling roses on the street here.
Bella: <file_photo>
Aria: <file_gif> 
Bella: hahahahahahaha!! That looks SO SAD! :''(:''(:''(
Aria: I feel like the weather is colder than it really is. How''s the weather there?
Bella: Here? it''s 3 degree today. Wow! Even coffee shops are all decorated with all the heart-shaped balloons.
Bella: <file_photo>
Aria: Here everywhere just chocolate. :/ :/Of course it isn''t related to me at all. :/:/
Bella: Only shops seems to get money.
Aria: What''s your plan?
Bella: Maybe I will order some pizza home. (Sounds not that fun. right?) When will you come to Warsaw?
Aria: As soon as I quit, I will fly to you. For now what I only hope is to leave work at 6. :|:|:|:|
Bella: This year I will probably go to Korea to get regular checkup. 
Aria: Good. Take care there.
Bella: Make bf asap and visit us together. You too!
Aria: I gotta go. Ttyl",FacEval,[]
581,13830106,Alpaca-13B,"['Poland', 'she wants to order some pizza home']","['Not found', 'Bella :  Maybe I will order some pizza home. (Sounds not that fun. right?) When will you come to Warsaw?']","Bella and Aria discussed about Valentine's Day. Bella mentioned that it's very cold in Warsaw, Poland and that all the shops are decorated with heart-shaped balloons. Aria said that she feels like the weather is colder than it really is and that she wants to order some pizza home. Bella said that she will probably go to Korea for a regular checkup this year and suggested Aria to make a boyfriend and visit them together. Aria said she gotta go and they ended the conversation.",1,"['Extrinsic_Error', 'Intrinsic_Error']","Bella: It''s valentine''s day!
Aria: For somebody without bf today is kinda miserable day.....
Bella: There are a lot of vendors selling roses on the street here.
Bella: <file_photo>
Aria: <file_gif> 
Bella: hahahahahahaha!! That looks SO SAD! :''(:''(:''(
Aria: I feel like the weather is colder than it really is. How''s the weather there?
Bella: Here? it''s 3 degree today. Wow! Even coffee shops are all decorated with all the heart-shaped balloons.
Bella: <file_photo>
Aria: Here everywhere just chocolate. :/ :/Of course it isn''t related to me at all. :/:/
Bella: Only shops seems to get money.
Aria: What''s your plan?
Bella: Maybe I will order some pizza home. (Sounds not that fun. right?) When will you come to Warsaw?
Aria: As soon as I quit, I will fly to you. For now what I only hope is to leave work at 6. :|:|:|:|
Bella: This year I will probably go to Korea to get regular checkup. 
Aria: Good. Take care there.
Bella: Make bf asap and visit us together. You too!
Aria: I gotta go. Ttyl",FacEval,"['World Knowledge', 'Referential Error']"
583,13731261,BART,[],[],Alec and Alexa both like America's Got Talent. Alec thinks the girl on the show is the best.,0,[],"Alec: Have you seen the last America's got talent?
Alexa: No. 
Alexa: Interesting? 
Alec: <file_other>
Alexa: The link doesn't work. 
Alec: Give me a sec.
Alec: <file _other>
Alexa: Now it's working!
Alec: good, watch it, u'll like it
Alexa: you're right, I like it :)
Alexa: The girl is amazing!
Alec: :)
Alexa: I wish I have had half her skills when I was her age! 
Alec: She's very good, that's true. 
Alec: I even thik she might win the edition.
Alexa: Did you see all candidates?
Alec: yes
Alec: And there're a few good, but I personally think she's the best!
Alexa: I'd be glad if she wins :)",SAMSum,[]
586,13731261,GPT-4,['latest episode'],['Not found'],"Alec and Alexa discussed the latest episode of America's Got Talent. Alec had to resend a link for Alexa to view, but once she saw it, she appreciated the talent of a particular girl. Alec believed the girl could possibly win the show's current season. Alexa agreed and hoped for the girl's success.",1,['Extrinsic_Error'],"Alec: Have you seen the last America''s got talent?
Alexa: No. 
Alexa: Interesting? 
Alec: <file_other>
Alexa: The link doesn''t work. 
Alec: Give me a sec.
Alec: <file _other>
Alexa: Now it''s working!
Alec: good, watch it, u''ll like it
Alexa: you''re right, I like it :)
Alexa: The girl is amazing!
Alec: :)
Alexa: I wish I have had half her skills when I was her age! 
Alec: She''s very good, that''s true. 
Alec: I even thik she might win the edition.
Alexa: Did you see all candidates?
Alec: yes
Alec: And there''re a few good, but I personally think she''s the best!
Alexa: I''d be glad if she wins :)",SAMSum,['World Knowledge']
587,13731261,Alpaca-13B,"['episode', 'Alec said he liked it and thought the girl was amazing']","['Not found', 'Alexa :  The girl is amazing!']","Alec and Alexa discussed about the last America's Got Talent episode. Alec said he liked it and thought the girl was amazing, while Alexa wished she had had half her skills when she was her age. They both agreed she might win the edition.",1,"['Extrinsic_Error', 'Intrinsic_Error']","Alec: Have you seen the last America''s got talent?
Alexa: No. 
Alexa: Interesting? 
Alec: <file_other>
Alexa: The link doesn''t work. 
Alec: Give me a sec.
Alec: <file _other>
Alexa: Now it''s working!
Alec: good, watch it, u''ll like it
Alexa: you''re right, I like it :)
Alexa: The girl is amazing!
Alec: :)
Alexa: I wish I have had half her skills when I was her age! 
Alec: She''s very good, that''s true. 
Alec: I even thik she might win the edition.
Alexa: Did you see all candidates?
Alec: yes
Alec: And there''re a few good, but I personally think she''s the best!
Alexa: I''d be glad if she wins :)",SAMSum,"['World Knowledge', 'Referential Error']"
589,test_22,BART,[],[],##Person1# thinks the steak is too well done. #Person2# will bring him another one.,0,[],"#Person1#: Excuse me.
#Person2#: Yes, sir. Can I help you?
#Person1#: Um, this steak, I asked for to be medium rare.
#Person2#: Medium rare, that's right, sir. I remember your order.
#Person1#: Well, I'm afraid it isn't. It's a bit too well done and rather tough. Would you mind changing?
#Person2#: If it is not to your satisfaction, I'll certainly bring you another. But I'm afraid you may have to wait for a few minutes.
#Person1#: Yes, that's all right. Thank you very much.",DialogSum,[]
592,test_22,GPT-4,[],[],"Person1 complained about his steak being overcooked when he had originally asked for it to be medium rare. Person2, presumably a waiter or chef, acknowledged the error and agreed to prepare a new steak, telling Person1 it might take a few minutes. Person1 agreed to wait.",0,[],"#Person1#: Excuse me.
#Person2#: Yes, sir. Can I help you?
#Person1#: Um, this steak, I asked for to be medium rare.
#Person2#: Medium rare, that''s right, sir. I remember your order.
#Person1#: Well, I''m afraid it isn''t. It''s a bit too well done and rather tough. Would you mind changing?
#Person2#: If it is not to your satisfaction, I''ll certainly bring you another. But I''m afraid you may have to wait for a few minutes.
#Person1#: Yes, that''s all right. Thank you very much.",DialogSum,[]
593,test_22,Alpaca-13B,[],[],"The customer is unsatisfied with the steak he has been served, as it is not medium rare as he had ordered. The server apologizes and offers to get another steak, but warns that it may take a few minutes. The customer accepts and thanks the server.",0,[],"#Person1#: Excuse me.
#Person2#: Yes, sir. Can I help you?
#Person1#: Um, this steak, I asked for to be medium rare.
#Person2#: Medium rare, that''s right, sir. I remember your order.
#Person1#: Well, I''m afraid it isn''t. It''s a bit too well done and rather tough. Would you mind changing?
#Person2#: If it is not to your satisfaction, I''ll certainly bring you another. But I''m afraid you may have to wait for a few minutes.
#Person1#: Yes, that''s all right. Thank you very much.",DialogSum,[]
596,13814079,BART,[],[],Violet is going on vacation and she needs to make an appointment at a waxing salon. Paisley has been to a Waxing salon once and it was painful.,0,[],"Violet: hi! :)
Violet: do you know any good waxing salon in the neighbourhood?
Violet: i'm going on vacation and i'm as hairy as a gorilla :o XD
Paisley: waxing? wow, girl, you're brave :p
Paisley: i've been in a waxing salon once and i'm not going back
Paisley: waxing is painful af
Violet: was it that bad?
Paisley: leg waxing was ok-ish, but bikini... jesus
Paisley: i was bleeding so fckin hard
Paisley: blood was EVERYWHERE
Violet: !!!
Violet: i was going to get brazilian waxing, but now i'm scared
Paisley: that's extreme :o
Paisley: if i were you, i'd start from leg waxing or sugaring
Paisley: but why won't you just shave down there?
Paisley: ingrown hairs?
Violet: yup
Violet: i use scrubs and moisturize my skin almost every day but it's still bad
Violet: i mean REALLY BAD, i look like a freaking chicken with all these razor bumps
Paisley: try shaving with the grain
Paisley: it helped with my ingrows
Violet: i've tried everything
Violet: i just need to man up and make an appointment
Paisley: good luck, then ;)
Violet: thanks",FacEval,[]
598,13814079,GPT-4,[],[],"Violet is seeking advice from Paisley about waxing salons, as she is planning to go on vacation and needs to deal with her body hair. Paisley advises against it due to her own painful experience, specifically with bikini waxing, and suggests alternatives like leg waxing or sugaring. Violet explains that she might go for brazilian waxing as her skin is sensitive and prone to razor bumps and ingrown hairs from shaving. Despite Paisley's advice to shave with the grain, Violet is determined to get waxed.",0,[],"Violet: hi! :)
Violet: do you know any good waxing salon in the neighbourhood?
Violet: i''m going on vacation and i''m as hairy as a gorilla :o XD
Paisley: waxing? wow, girl, you''re brave :p
Paisley: i''ve been in a waxing salon once and i''m not going back
Paisley: waxing is painful af
Violet: was it that bad?
Paisley: leg waxing was ok-ish, but bikini... jesus
Paisley: i was bleeding so fckin hard
Paisley: blood was EVERYWHERE
Violet: !!!
Violet: i was going to get brazilian waxing, but now i''m scared
Paisley: that''s extreme :o
Paisley: if i were you, i''d start from leg waxing or sugaring
Paisley: but why won''t you just shave down there?
Paisley: ingrown hairs?
Violet: yup
Violet: i use scrubs and moisturize my skin almost every day but it''s still bad
Violet: i mean REALLY BAD, i look like a freaking chicken with all these razor bumps
Paisley: try shaving with the grain
Paisley: it helped with my ingrows
Violet: i''ve tried everything
Violet: i just need to man up and make an appointment
Paisley: good luck, then ;)
Violet: thanks",FacEval,[]
599,13814079,Alpaca-13B,['is feeling a bit nervous about it'],['Not found'],"Violet is looking for a good waxing salon in the neighbourhood and is feeling a bit nervous about it. Paisley, her friend, tells her that she's been to a waxing salon once but isn't going back because it was too painful. Violet is surprised and asks her how bad it was. Paisley explains that leg waxing was okay, but bikini waxing was extremely painful and she was bleeding heavily. Violet is shocked and says she was going to get a Brazilian waxing, but now she's scared. Paisley suggests starting with leg waxing or sugaring instead. When Violet says she was going to get a Brazilian waxing, Paisley suggests shaving as an alternative. Violet explains that she already does, but it doesn't help and she looks like a ""freaking chicken"" with all the razor bumps. Paisley suggests shaving with the grain, which helped her with ingrown hairs. Violet says she's tried everything and just needs to man up and make an appointment. Paisley wishes her luck and Violet thanks her.",1,['Extrinsic_Error'],"Violet: hi! :)
Violet: do you know any good waxing salon in the neighbourhood?
Violet: i''m going on vacation and i''m as hairy as a gorilla :o XD
Paisley: waxing? wow, girl, you''re brave :p
Paisley: i''ve been in a waxing salon once and i''m not going back
Paisley: waxing is painful af
Violet: was it that bad?
Paisley: leg waxing was ok-ish, but bikini... jesus
Paisley: i was bleeding so fckin hard
Paisley: blood was EVERYWHERE
Violet: !!!
Violet: i was going to get brazilian waxing, but now i''m scared
Paisley: that''s extreme :o
Paisley: if i were you, i''d start from leg waxing or sugaring
Paisley: but why won''t you just shave down there?
Paisley: ingrown hairs?
Violet: yup
Violet: i use scrubs and moisturize my skin almost every day but it''s still bad
Violet: i mean REALLY BAD, i look like a freaking chicken with all these razor bumps
Paisley: try shaving with the grain
Paisley: it helped with my ingrows
Violet: i''ve tried everything
Violet: i just need to man up and make an appointment
Paisley: good luck, then ;)
Violet: thanks",FacEval,['Circumstantial Inference']
602,13716726,BART,"[None, None, None]",[],He got fired today and thrown out of school.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Shanon: Yeah. So what bout him?
Victor: He's no longer our teacher :)
Oliver: I'm so happy :)
Sid: Me too!
Shanon: Bt y?
Sid: He got fired 2day and thrown out of school?
Oliver: Literally thrown out!
Shanon: What?!
Victor: I suppose he's had it and lost it.
Oliver: Or maybe had one too many ;)
Sid: Not. Our. Teacher. Anymore!",FacEval,['Logical Error']
604,13716726,GPT-4,[],[],"The group of students, Shanon, Victor, Oliver, and Sid are discussing their teacher who has been fired and thrown out of school. They are all quite pleased about it, although Shanon seems surprised. The group speculates that the teacher might have had a breakdown or a possible issue with alcohol.",0,[],"Shanon: Yeah. So what bout him?
Victor: He''s no longer our teacher :)
Oliver: I''m so happy :)
Sid: Me too!
Shanon: Bt y?
Sid: He got fired 2day and thrown out of school?
Oliver: Literally thrown out!
Shanon: What?!
Victor: I suppose he''s had it and lost it.
Oliver: Or maybe had one too many ;)
Sid: Not. Our. Teacher. Anymore!",FacEval,[]
605,13716726,Alpaca-13B,[],[],The students are discussing their former teacher who was recently fired and thrown out of school. They are happy that he is no longer their teacher. It is implied that he may have had too much to drink which led to his dismissal.,0,[],"Shanon: Yeah. So what bout him?
Victor: He''s no longer our teacher :)
Oliver: I''m so happy :)
Sid: Me too!
Shanon: Bt y?
Sid: He got fired 2day and thrown out of school?
Oliver: Literally thrown out!
Shanon: What?!
Victor: I suppose he''s had it and lost it.
Oliver: Or maybe had one too many ;)
Sid: Not. Our. Teacher. Anymore!",FacEval,[]
608,13728397,BART,[],[],Jessie and Karine were at kindergarten.,0,[],"Karine: <file_video>
Jessie: That was us at kindergarten!
Karine: yes!!",FacEval,[]
610,13728397,GPT-4,[],[],"Karine and Jessie are reacting to a video file, which shows them together in kindergarten.",0,[],"Karine: <file_video>
Jessie: That was us at kindergarten!
Karine: yes!!",FacEval,[]
611,13728397,Alpaca-13B,[],[],"The two girls are reminiscing about their time at kindergarten, sharing a video file of their younger selves.",0,[],"Karine: <file_video>
Jessie: That was us at kindergarten!
Karine: yes!!",FacEval,[]
613,test_43,BART,"['listening to music,']",[],"##Person1# suggests #Person2# find a way to entertain himself in the boring speech, such as reading old newspapers, listening to music, or doing crossword puzzles.",1,['Intrinsic_Error'],"#Person1#: Don't tell me you're bored already?
#Person2#: Well, yeah, I am.
#Person1#: We just got here. You will have to find a way to entertain yourself then.
#Person2#: What can I do? There are just a bunch of boring people giving boring speeches.
#Person1#: Too bad. I have to sit through it, so you do, too. Even if it's a little boring, it's important for me to be here. I have to listen carefully, take notes and then interview some of the speakers afterward. I work for the Daily News after all. Didn't you bring anything to read?
#Person2#: I brought my iPod and some headphones. Would it be rude to listen to some music?
#Person1#: Yes, it would. I might have a few old newspapers in my bag. You could read them. They also have sections with games in them, like crossword puzzles. That will keep you busy for a while.
#Person2#: I hate crosswords. Do the papers have comic sections in them?
#Person1#: You'll probably find some. Now be quiet! Another man is getting up to speak. I really have to pay attention to this one. It's the head of the charity organization.",DialogSum,['Logical Error']
616,test_43,GPT-4,[],[],"Person1 and Person2 are at an event which Person2 finds boring. Person1, who works for the Daily News, insists they both have to sit through it as they need to take notes for an interview with the speakers. Person1 suggests that Person2 entertain themselves with old newspapers, including possible games and comics. However, Person2 dislikes crosswords and questions if it would be rude to listen to music. They are then asked to be quiet as the head of a charity organization is about to speak.",0,[],"#Person1#: Don''t tell me you''re bored already?
#Person2#: Well, yeah, I am.
#Person1#: We just got here. You will have to find a way to entertain yourself then.
#Person2#: What can I do? There are just a bunch of boring people giving boring speeches.
#Person1#: Too bad. I have to sit through it, so you do, too. Even if it''s a little boring, it''s important for me to be here. I have to listen carefully, take notes and then interview some of the speakers afterward. I work for the Daily News after all. Didn''t you bring anything to read?
#Person2#: I brought my iPod and some headphones. Would it be rude to listen to some music?
#Person1#: Yes, it would. I might have a few old newspapers in my bag. You could read them. They also have sections with games in them, like crossword puzzles. That will keep you busy for a while.
#Person2#: I hate crosswords. Do the papers have comic sections in them?
#Person1#: You''ll probably find some. Now be quiet! Another man is getting up to speak. I really have to pay attention to this one. It''s the head of the charity organization.",DialogSum,[]
